# Copyright (C) 2021  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 21.1.0 Build 842 10/21/2021 SJ Lite Edition
# File: /home/lesteves/Téléchargements/DE10-Lite_v.2.1.0_SystemCD/Demonstrations/VGA_Pattern/DE10_LITE_VGA_Pattern.csv
# Generated on: Wed Jun  1 14:29:32 2022

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
ADC_CLK_10,Input,PIN_N5,2,B2_N0,PIN_N5,3.3-V LVTTL,,,,,
ARDUINO_IO[15],Bidir,PIN_AA20,4,B4_N0,PIN_AA20,3.3-V LVTTL,,,,,
ARDUINO_IO[14],Bidir,PIN_AB21,4,B4_N0,PIN_AB21,3.3-V LVTTL,,,,,
ARDUINO_IO[13],Bidir,PIN_AB20,4,B4_N0,PIN_AB20,3.3-V LVTTL,,,,,
ARDUINO_IO[12],Bidir,PIN_Y19,4,B4_N0,PIN_Y19,3.3-V LVTTL,,,,,
ARDUINO_IO[11],Bidir,PIN_AA19,4,B4_N0,PIN_AA19,3.3-V LVTTL,,,,,
ARDUINO_IO[10],Bidir,PIN_AB19,4,B4_N0,PIN_AB19,3.3-V LVTTL,,,,,
ARDUINO_IO[9],Bidir,PIN_AA17,4,B4_N0,PIN_AA17,3.3-V LVTTL,,,,,
ARDUINO_IO[8],Bidir,PIN_AB17,4,B4_N0,PIN_AB17,3.3-V LVTTL,,,,,
ARDUINO_IO[7],Bidir,PIN_AA12,4,B4_N0,PIN_AA12,3.3-V LVTTL,,,,,
ARDUINO_IO[6],Bidir,PIN_AA11,4,B4_N0,PIN_AA11,3.3-V LVTTL,,,,,
ARDUINO_IO[5],Bidir,PIN_Y10,3,B3_N0,PIN_Y10,3.3-V LVTTL,,,,,
ARDUINO_IO[4],Bidir,PIN_AB9,3,B3_N0,PIN_AB9,3.3-V LVTTL,,,,,
ARDUINO_IO[3],Bidir,PIN_AB8,3,B3_N0,PIN_AB8,3.3-V LVTTL,,,,,
ARDUINO_IO[2],Bidir,PIN_AB7,3,B3_N0,PIN_AB7,3.3-V LVTTL,,,,,
ARDUINO_IO[1],Bidir,PIN_AB6,3,B3_N0,PIN_AB6,3.3-V LVTTL,,,,,
ARDUINO_IO[0],Bidir,PIN_AB5,3,B3_N0,PIN_AB5,3.3-V LVTTL,,,,,
ARDUINO_RESET_N,Bidir,PIN_F16,7,B7_N0,PIN_F16,3.3-V LVTTL,,,,,
DRAM_ADDR[12],Output,PIN_R20,5,B5_N0,PIN_R20,3.3-V LVTTL,,,,,
DRAM_ADDR[11],Output,PIN_P20,5,B5_N0,PIN_P20,3.3-V LVTTL,,,,,
DRAM_ADDR[10],Output,PIN_T20,5,B5_N0,PIN_T20,3.3-V LVTTL,,,,,
DRAM_ADDR[9],Output,PIN_P19,5,B5_N0,PIN_P19,3.3-V LVTTL,,,,,
DRAM_ADDR[8],Output,PIN_P18,5,B5_N0,PIN_P18,3.3-V LVTTL,,,,,
DRAM_ADDR[7],Output,PIN_R18,5,B5_N0,PIN_R18,3.3-V LVTTL,,,,,
DRAM_ADDR[6],Output,PIN_T19,5,B5_N0,PIN_T19,3.3-V LVTTL,,,,,
DRAM_ADDR[5],Output,PIN_T18,5,B5_N0,PIN_T18,3.3-V LVTTL,,,,,
DRAM_ADDR[4],Output,PIN_U19,5,B5_N0,PIN_U19,3.3-V LVTTL,,,,,
DRAM_ADDR[3],Output,PIN_U18,5,B5_N0,PIN_U18,3.3-V LVTTL,,,,,
DRAM_ADDR[2],Output,PIN_V18,5,B5_N0,PIN_V18,3.3-V LVTTL,,,,,
DRAM_ADDR[1],Output,PIN_W19,5,B5_N0,PIN_W19,3.3-V LVTTL,,,,,
DRAM_ADDR[0],Output,PIN_U17,5,B5_N0,PIN_U17,3.3-V LVTTL,,,,,
DRAM_BA[1],Output,PIN_T22,5,B5_N0,PIN_T22,3.3-V LVTTL,,,,,
DRAM_BA[0],Output,PIN_T21,5,B5_N0,PIN_T21,3.3-V LVTTL,,,,,
DRAM_CAS_N,Output,PIN_U21,5,B5_N0,PIN_U21,3.3-V LVTTL,,,,,
DRAM_CKE,Output,PIN_N22,5,B5_N0,PIN_N22,3.3-V LVTTL,,,,,
DRAM_CLK,Output,PIN_L14,6,B6_N0,PIN_L14,3.3-V LVTTL,,,,,
